2026-06-18 13:09:39 | INFO     | Neo4jConnection | Batch execution completed | total_records=16
2026-06-18 13:09:39 | INFO     | Neo4jConnection | Batch execution completed | total_records=170
2026-06-18 13:09:39 | INFO     | Neo4jConnection | Batch execution completed | total_records=35
2026-06-18 13:09:39 | INFO     | Neo4jConnection | Batch execution completed | total_records=57
2026-06-18 13:09:39 | INFO     | Neo4jConnection | Batch execution completed | total_records=69
2026-06-18 13:09:39 | INFO     | Neo4jConnection | Batch execution completed | total_records=246
2026-06-18 13:09:39 | INFO     | Neo4jConnection | Batch execution completed | total_records=449
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=16
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=170
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=35
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=57
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=69
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=246
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=449
2026-06-18 13:10:05 | INFO     | Neo4jConnection | Batch execution completed | total_records=170
